date_key,full_date,year,month,quarter
2020-10-01,2020-10-01,2020,10,4
2021-07-01,2021-07-01,2021,7,3
2021-10-01,2021-10-01,2021,10,4
2022-07-01,2022-07-01,2022,7,3
2022-10-01,2022-10-01,2022,10,4
2023-07-01,2023-07-01,2023,7,3
2023-10-01,2023-10-01,2023,10,4
2024-07-01,2024-07-01,2024,7,3
2024-10-01,2024-10-01,2024,10,4
2025-01-01,2025-01-01,2025,1,1
2025-04-01,2025-04-01,2025,4,2
2025-07-01,2025-07-01,2025,7,3
2025-10-01,2025-10-01,2025,10,4
2026-01-01,2026-01-01,2026,1,1
2023-11-01,2023-11-01,2023,11,4
2023-12-01,2023-12-01,2023,12,4
2024-02-01,2024-02-01,2024,2,1
2024-03-01,2024-03-01,2024,3,1
2024-05-01,2024-05-01,2024,5,2
2024-06-01,2024-06-01,2024,6,2
2024-08-01,2024-08-01,2024,8,3
2024-09-01,2024-09-01,2024,9,3
2024-11-01,2024-11-01,2024,11,4
2024-12-01,2024-12-01,2024,12,4
2025-02-01,2025-02-01,2025,2,1
2025-03-01,2025-03-01,2025,3,1
2025-05-01,2025-05-01,2025,5,2
2025-06-01,2025-06-01,2025,6,2
2025-08-01,2025-08-01,2025,8,3
2025-09-01,2025-09-01,2025,9,3
2025-11-01,2025-11-01,2025,11,4
2025-12-01,2025-12-01,2025,12,4
2026-02-01,2026-02-01,2026,2,1
2026-03-01,2026-03-01,2026,3,1
2026-04-01,2026-04-01,2026,4,2
2026-05-01,2026-05-01,2026,5,2
2000-02-01,2000-02-01,2000,2,1
2000-03-01,2000-03-01,2000,3,1
2000-05-01,2000-05-01,2000,5,2
2000-06-01,2000-06-01,2000,6,2
2000-08-01,2000-08-01,2000,8,3
2000-09-01,2000-09-01,2000,9,3
2000-11-01,2000-11-01,2000,11,4
2000-12-01,2000-12-01,2000,12,4
2001-02-01,2001-02-01,2001,2,1
2001-03-01,2001-03-01,2001,3,1
2001-05-01,2001-05-01,2001,5,2
2001-06-01,2001-06-01,2001,6,2
2001-08-01,2001-08-01,2001,8,3
2001-09-01,2001-09-01,2001,9,3
2001-11-01,2001-11-01,2001,11,4
2001-12-01,2001-12-01,2001,12,4
2002-02-01,2002-02-01,2002,2,1
2002-03-01,2002-03-01,2002,3,1
2002-05-01,2002-05-01,2002,5,2
2002-06-01,2002-06-01,2002,6,2
2002-08-01,2002-08-01,2002,8,3
2002-09-01,2002-09-01,2002,9,3
2002-11-01,2002-11-01,2002,11,4
2002-12-01,2002-12-01,2002,12,4
2003-02-01,2003-02-01,2003,2,1
2003-03-01,2003-03-01,2003,3,1
2003-05-01,2003-05-01,2003,5,2
2003-06-01,2003-06-01,2003,6,2
2003-08-01,2003-08-01,2003,8,3
2003-09-01,2003-09-01,2003,9,3
2003-11-01,2003-11-01,2003,11,4
2003-12-01,2003-12-01,2003,12,4
2004-02-01,2004-02-01,2004,2,1
2004-03-01,2004-03-01,2004,3,1
2004-05-01,2004-05-01,2004,5,2
2004-06-01,2004-06-01,2004,6,2
2004-08-01,2004-08-01,2004,8,3
2004-09-01,2004-09-01,2004,9,3
2004-11-01,2004-11-01,2004,11,4
2004-12-01,2004-12-01,2004,12,4
2005-02-01,2005-02-01,2005,2,1
2005-03-01,2005-03-01,2005,3,1
2005-05-01,2005-05-01,2005,5,2
2005-06-01,2005-06-01,2005,6,2
2005-08-01,2005-08-01,2005,8,3
2005-09-01,2005-09-01,2005,9,3
2005-11-01,2005-11-01,2005,11,4
2005-12-01,2005-12-01,2005,12,4
2006-02-01,2006-02-01,2006,2,1
2006-03-01,2006-03-01,2006,3,1
2006-05-01,2006-05-01,2006,5,2
2006-06-01,2006-06-01,2006,6,2
2006-08-01,2006-08-01,2006,8,3
2006-09-01,2006-09-01,2006,9,3
2006-11-01,2006-11-01,2006,11,4
2006-12-01,2006-12-01,2006,12,4
2007-02-01,2007-02-01,2007,2,1
2007-03-01,2007-03-01,2007,3,1
2007-05-01,2007-05-01,2007,5,2
2007-06-01,2007-06-01,2007,6,2
2007-08-01,2007-08-01,2007,8,3
2007-09-01,2007-09-01,2007,9,3
2007-11-01,2007-11-01,2007,11,4
2007-12-01,2007-12-01,2007,12,4
2008-02-01,2008-02-01,2008,2,1
2008-03-01,2008-03-01,2008,3,1
2008-05-01,2008-05-01,2008,5,2
2008-06-01,2008-06-01,2008,6,2
2008-08-01,2008-08-01,2008,8,3
2008-09-01,2008-09-01,2008,9,3
2008-11-01,2008-11-01,2008,11,4
2008-12-01,2008-12-01,2008,12,4
2009-02-01,2009-02-01,2009,2,1
2009-03-01,2009-03-01,2009,3,1
2009-05-01,2009-05-01,2009,5,2
2009-06-01,2009-06-01,2009,6,2
2009-08-01,2009-08-01,2009,8,3
2009-09-01,2009-09-01,2009,9,3
2009-11-01,2009-11-01,2009,11,4
2009-12-01,2009-12-01,2009,12,4
2010-02-01,2010-02-01,2010,2,1
2010-03-01,2010-03-01,2010,3,1
2010-05-01,2010-05-01,2010,5,2
2010-06-01,2010-06-01,2010,6,2
2010-08-01,2010-08-01,2010,8,3
2010-09-01,2010-09-01,2010,9,3
2010-11-01,2010-11-01,2010,11,4
2010-12-01,2010-12-01,2010,12,4
2011-02-01,2011-02-01,2011,2,1
2011-03-01,2011-03-01,2011,3,1
2011-05-01,2011-05-01,2011,5,2
2011-06-01,2011-06-01,2011,6,2
2011-08-01,2011-08-01,2011,8,3
2011-09-01,2011-09-01,2011,9,3
2011-11-01,2011-11-01,2011,11,4
2011-12-01,2011-12-01,2011,12,4
2012-02-01,2012-02-01,2012,2,1
2012-03-01,2012-03-01,2012,3,1
2012-05-01,2012-05-01,2012,5,2
2012-06-01,2012-06-01,2012,6,2
2012-08-01,2012-08-01,2012,8,3
2012-09-01,2012-09-01,2012,9,3
2012-11-01,2012-11-01,2012,11,4
2012-12-01,2012-12-01,2012,12,4
2013-02-01,2013-02-01,2013,2,1
2013-03-01,2013-03-01,2013,3,1
2013-05-01,2013-05-01,2013,5,2
2013-06-01,2013-06-01,2013,6,2
2013-08-01,2013-08-01,2013,8,3
2013-09-01,2013-09-01,2013,9,3
2013-11-01,2013-11-01,2013,11,4
2013-12-01,2013-12-01,2013,12,4
2014-02-01,2014-02-01,2014,2,1
2014-03-01,2014-03-01,2014,3,1
2014-05-01,2014-05-01,2014,5,2
2014-06-01,2014-06-01,2014,6,2
2014-08-01,2014-08-01,2014,8,3
2014-09-01,2014-09-01,2014,9,3
2014-11-01,2014-11-01,2014,11,4
2014-12-01,2014-12-01,2014,12,4
2015-02-01,2015-02-01,2015,2,1
2015-03-01,2015-03-01,2015,3,1
2015-05-01,2015-05-01,2015,5,2
2015-06-01,2015-06-01,2015,6,2
2015-08-01,2015-08-01,2015,8,3
2015-09-01,2015-09-01,2015,9,3
2015-11-01,2015-11-01,2015,11,4
2015-12-01,2015-12-01,2015,12,4
2016-02-01,2016-02-01,2016,2,1
2016-03-01,2016-03-01,2016,3,1
2016-05-01,2016-05-01,2016,5,2
2016-06-01,2016-06-01,2016,6,2
2016-08-01,2016-08-01,2016,8,3
2016-09-01,2016-09-01,2016,9,3
2016-11-01,2016-11-01,2016,11,4
2016-12-01,2016-12-01,2016,12,4
2017-02-01,2017-02-01,2017,2,1
2017-03-01,2017-03-01,2017,3,1
2017-05-01,2017-05-01,2017,5,2
2017-06-01,2017-06-01,2017,6,2
2017-08-01,2017-08-01,2017,8,3
2017-09-01,2017-09-01,2017,9,3
2017-11-01,2017-11-01,2017,11,4
2017-12-01,2017-12-01,2017,12,4
2018-02-01,2018-02-01,2018,2,1
2018-03-01,2018-03-01,2018,3,1
2018-05-01,2018-05-01,2018,5,2
2018-06-01,2018-06-01,2018,6,2
2018-08-01,2018-08-01,2018,8,3
2018-09-01,2018-09-01,2018,9,3
2018-11-01,2018-11-01,2018,11,4
2018-12-01,2018-12-01,2018,12,4
2019-02-01,2019-02-01,2019,2,1
2019-03-01,2019-03-01,2019,3,1
2019-05-01,2019-05-01,2019,5,2
2019-06-01,2019-06-01,2019,6,2
2019-08-01,2019-08-01,2019,8,3
2019-09-01,2019-09-01,2019,9,3
2019-11-01,2019-11-01,2019,11,4
2019-12-01,2019-12-01,2019,12,4
2020-02-01,2020-02-01,2020,2,1
2020-03-01,2020-03-01,2020,3,1
2020-05-01,2020-05-01,2020,5,2
2020-06-01,2020-06-01,2020,6,2
2020-08-01,2020-08-01,2020,8,3
2020-09-01,2020-09-01,2020,9,3
2020-11-01,2020-11-01,2020,11,4
2020-12-01,2020-12-01,2020,12,4
2021-02-01,2021-02-01,2021,2,1
2021-03-01,2021-03-01,2021,3,1
2021-05-01,2021-05-01,2021,5,2
2021-06-01,2021-06-01,2021,6,2
2021-08-01,2021-08-01,2021,8,3
2021-09-01,2021-09-01,2021,9,3
2021-11-01,2021-11-01,2021,11,4
2021-12-01,2021-12-01,2021,12,4
2022-02-01,2022-02-01,2022,2,1
2022-03-01,2022-03-01,2022,3,1
2022-05-01,2022-05-01,2022,5,2
2022-06-01,2022-06-01,2022,6,2
2022-08-01,2022-08-01,2022,8,3
2022-09-01,2022-09-01,2022,9,3
2022-11-01,2022-11-01,2022,11,4
2022-12-01,2022-12-01,2022,12,4
2023-02-01,2023-02-01,2023,2,1
2023-03-01,2023-03-01,2023,3,1
2023-05-01,2023-05-01,2023,5,2
2023-06-01,2023-06-01,2023,6,2
2023-08-01,2023-08-01,2023,8,3
2023-09-01,2023-09-01,2023,9,3
2026-06-01,2026-06-01,2026,6,2
2026-07-01,2026-07-01,2026,7,3
None,None,0,0,1
